,Chromis bermudae,Chromis insolata,Paranthia furcifer,Chaetodon sedentarius,Sparisoma aurofrenatum,Coryphopterus sp.,Pterois sp. ,Canthigaster rostrata,Halichoeres garnoti,Centropyge argi,Apogon sp. ,Bodianus pulchellus,Scarus taeniopterus,Cephalopholis fulva,Rypticus saponaceus,Stegastes variabilis,Haemulon flavolineatum,Hemipteronotus sp. ,Melichthys niger,Holocanthus tricolor,Chromis cyanea,Sphoeroides spengleri,Bodianus rufus,Halichoeres radiatus,Acanthurus chirurgus,Stegastes partitus,Chaetodon ocellatus,Gymnothorax funerbris,Thalossoma bifasciatum
Elbow,0.2491,0.4246,0.2246,0.0175,0.0000,0.0070,0.0000,0.0000,0.0281,0.0211,0.0000,0.0175,0.0000,0.0070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0035,0.0000,0.0000,0.0000
Tiger,0.0937,0.1246,0.6552,0.0061,0.0121,0.0061,0.0095,0.0091,0.0347,0.0395,0.0000,0.0001,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
XL,0.0430,0.5193,0.0428,0.0306,0.0100,0.0000,0.0954,0.0000,0.0103,0.0070,0.0000,0.0505,0.0000,0.1003,0.0000,0.0752,0.0000,0.0003,0.0000,0.0051,0.0000,0.0000,0.0000,0.0100,0.0000,0.0001,0.0000,0.0000,0.0000
Spittal,0.0000,0.1695,0.1186,0.0678,0.1695,0.0508,0.0169,0.0339,0.0169,0.0000,0.0000,0.0847,0.1356,0.0000,0.0000,0.0000,0.0678,0.0000,0.0000,0.0169,0.0169,0.0000,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,0.0000
Coopers,0.1556,0.3556,0.0000,0.2667,0.0222,0.0444,0.0000,0.0444,0.0222,0.0000,0.0000,0.0000,0.0222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0222,0.0000,0.0000,0.0222,0.0222,0.0000,0.0000,0.0000,0.0000,0.0000
NNE,0.3846,0.0769,0.0256,0.0256,0.0256,0.0513,0.0000,0.0256,0.0000,0.1795,0.1026,0.0000,0.0000,0.0000,0.0256,0.0000,0.0256,0.0000,0.0000,0.0000,0.0256,0.0000,0.0000,0.0000,0.0256,0.0000,0.0000,0.0000,0.0000
Dark Slime,0.6202,0.0000,0.0000,0.0465,0.0310,0.0775,0.0000,0.0233,0.1240,0.0000,0.0388,0.0000,0.0000,0.0000,0.0155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0155,0.0078,0.0000
Reef Sticky,0.4054,0.0090,0.0090,0.1622,0.1712,0.0360,0.0090,0.0180,0.0180,0.0000,0.0450,0.0270,0.0000,0.0180,0.0000,0.0000,0.0000,0.0000,0.0631,0.0000,0.0000,0.0000,0.0090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Angel,0.0000,0.5263,0.0000,0.2105,0.0000,0.0000,0.0000,0.0263,0.0263,0.0000,0.0000,0.1316,0.0000,0.0000,0.0000,0.0000,0.0526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0047
Nrock,0.3030,0.1818,0.1212,0.0606,0.0000,0.0606,0.0000,0.0000,0.1212,0.0000,0.0000,0.0000,0.0303,0.0909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tuckers,0.0000,0.0000,0.2692,0.0000,0.0385,0.1538,0.1923,0.1154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0769,0.0385,0.0000,0.0769,0.0000,0.0000,0.0000,0.0385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
