species,site,sum,mean
Chromis_bermudae,Elbow,0.249,0.249122807
Chromis_insolata,Elbow,0.425,0.424561404
Paranthia_furcifer,Elbow,0.225,0.224561404
Chaetodon_sedentarius,Elbow,0.018,0.01754386
Sparisoma_aurofrenatum,Elbow,0.000,0
Coryphopterus_sp,Elbow,0.007,0.007017544
Canthigaster_rostrata,Elbow,0.000,0
Halichoeres_garnoti,Elbow,0.028,0.028070175
Centropyge_argi,Elbow,0.021,0.021052632
Apogon_sp,Elbow,0.000,0
Bodianus_pulchellus,Elbow,0.018,0.01754386
Scarus_taeniopterus,Elbow,0.000,0
Cephalopholis_fulva,Elbow,0.007,0.007017544
Rypticus_saponaceus,Elbow,0.000,0
Stegastes_variabilis,Elbow,0.000,0
Haemulon_flavolineatum,Elbow,0.000,0
Hemipteronotus_sp,Elbow,0.000,0
Melichthys_niger,Elbow,0.000,0
Holocanthus_tricolor,Elbow,0.000,0
Chromis_cyanea,Elbow,0.000,0
Sphoeroides_spengleri,Elbow,0.000,0
Bodianus_rufus,Elbow,0.000,0
Halichoeres_radiatus,Elbow,0.000,0
Acanthurus_chirurgus,Elbow,0.000,0
Stegastes_partitus,Elbow,0.004,0.003508772
Chaetodon_ocellatus,Elbow,0.000,0
Gymnothorax_funerbris,Elbow,0.000,0
Thalossoma_bifasciatum,Elbow,0.000,0
Chromis_bermudae,Tiger,0.091,0.221748401
Chromis_insolata,Tiger,0.127,0.091684435
Paranthia_furcifer,Tiger,0.665,0.537313433
Chaetodon_sedentarius,Tiger,0.006,0.006396588
Sparisoma_aurofrenatum,Tiger,0.012,0.008528785
Coryphopterus_sp,Tiger,0.006,0.004264392
Canthigaster_rostrata,Tiger,0.009,0.006396588
Halichoeres_garnoti,Tiger,0.034,0.059701493
Centropyge_argi,Tiger,0.040,0.029850746
Apogon_sp,Tiger,0.000,0
Bodianus_pulchellus,Tiger,0.000,0.002132196
Scarus_taeniopterus,Tiger,0.003,0.002132196
Cephalopholis_fulva,Tiger,0.000,0
Rypticus_saponaceus,Tiger,0.000,0
Stegastes_variabilis,Tiger,0.000,0
Haemulon_flavolineatum,Tiger,0.000,0
Hemipteronotus_sp,Tiger,0.000,0
Melichthys_niger,Tiger,0.000,0
Holocanthus_tricolor,Tiger,0.000,0
Chromis_cyanea,Tiger,0.000,0
Sphoeroides_spengleri,Tiger,0.000,0
Bodianus_rufus,Tiger,0.006,0.006396588
Halichoeres_radiatus,Tiger,0.000,0
Acanthurus_chirurgus,Tiger,0.000,0
Stegastes_partitus,Tiger,0.000,0
Chaetodon_ocellatus,Tiger,0.000,0
Gymnothorax_funerbris,Tiger,0.000,0
Thalossoma_bifasciatum,Tiger,0.000,0
Chromis_bermudae,XL,0.046,0.105802048
Chromis_insolata,XL,0.578,0.42662116
Paranthia_furcifer,XL,0.046,0.098976109
Chaetodon_sedentarius,XL,0.034,0.034129693
Sparisoma_aurofrenatum,XL,0.011,0.006825939
Coryphopterus_sp,XL,0.000,0
Canthigaster_rostrata,XL,0.000,0
Halichoeres_garnoti,XL,0.011,0.013651877
Centropyge_argi,XL,0.006,0.058020478
Apogon_sp,XL,0.000,0
Bodianus_pulchellus,XL,0.056,0.044368601
Scarus_taeniopterus,XL,0.000,0
Cephalopholis_fulva,XL,0.112,0.068259386
Rypticus_saponaceus,XL,0.000,0
Stegastes_variabilis,XL,0.084,0.051194539
Haemulon_flavolineatum,XL,0.000,0
Hemipteronotus_sp,XL,0.000,0.006825939
Melichthys_niger,XL,0.000,0
Holocanthus_tricolor,XL,0.006,0.006825939
