lionfish_den,fish_div,fish_den,fish_bio,temp,c_bda,c_enchry,p_furc
120,1.162162044,7918.25,387363.2905,22.22222222,8597.235016,291426.0803,23821.33676
600,1.031628997,9772.7875,295291.9727,21.66666667,10074.50638,20591.94148,164601.7642
700,1.005399464,6105.3875,500997.8152,21.11111111,3753.722331,148259.0534,49768.97188
240,1.114701743,1333.6,287375.7454,22.22222222,0,66874.27621,59732.83255
160,0.904750546,1250.25,139560.158,22.22222222,1695.22944,1500.749577,0
120,1.061687849,1083.55,97867.56206,21.66667,1453.053806,16484.07693,8533.261793
40,1.099649174,3584.05,138320.8444,22.22222222,32034.40396,0,0
0,0.703575229,3083.95,241216.0532,22.77777778,21795.80708,468.9842429,301.4637461
0,0.854561784,1583.65,125297.1785,22.22222222,0,68619.15482,0
0,1.663042822,1583.65,111156.1075,23.33333,4843.512685,38114.59047,17066.52359
40,0.881466261,722.3666667,51718.61346,23.88888889,0,0,1055.123111
